game_name,link,genres,release_year,number_of_reviews_from_purchased_people,game_avg_hrs_played,overall_player_rating,game_id
Terraria,https://store.steampowered.com/app/105600/Terraria?snr=1_category_4_action_100727,open_world_survival_craft sandbox survival 2d multiplayer adventure pixel_graphics crafting building exploration co-op open_world online_co-op indie action rpg singleplayer replay_value platformer atmospheric,2011,1061260.0,795.837962037962,Overwhelmingly Positive,181
Golf It!,https://store.steampowered.com/app/571740/Golf_It?snr=1_category_4_sportsandracing_100726,multiplayer mini_golf golf casual sports funny online_co-op singleplayer simulation level_editor indie early_access local_multiplayer sandbox co-op family_friendly vr memes difficult strategy,2023,22129.0,40.54667467948718,Very Positive,79
PAYDAY 2,https://store.steampowered.com/app/218620/PAYDAY_2?snr=1_category_4_action_100727,co-op action fps heist multiplayer looter_shooter online_co-op stealth crime shooter team-based first-person great_soundtrack gun_customization tactical pve strategy singleplayer funny simulation,2013,431019.0,673.0206082432974,Very Positive,131
"Warhammer 40,000: Rogue Trader",https://store.steampowered.com/app/2186680/Warhammer_40000_Rogue_Trader?snr=1_category_4_strategy_salebrowseall,cinematic online_co-op multiplayer turn-based_strategy strategy_rpg collectathon dungeon_crawler space atmospheric multiple_endings tactical_rpg mystery sci-fi tactical dark_humor rpg character_customization choices_matter combat exploration,2023,13539.0,106.84923817161189,Mostly Positive,217
Fallout 76,https://store.steampowered.com/app/1151340/Fallout_76?snr=1_category_4_rpg_100726,open_world dark_comedy multiplayer post-apocalyptic rpg capitalism survival base_building co-op shooter horror mmorpg exploration fps gore singleplayer violent atmospheric early_access great_soundtrack,2020,61554.0,349.2997193263833,Mostly Positive,67
Assetto Corsa Competizione,https://store.steampowered.com/app/805550/Assetto_Corsa_Competizione?snr=1_category_4_simulation_salebrowseall,racing automobile_sim simulation vr multiplayer driving realistic sports singleplayer controller open_world esports early_access first-person competitive online_co-op atmospheric moddable difficult pvp,2019,23536.0,298.0213615492114,Very Positive,19
Hearts of Iron IV,https://store.steampowered.com/app/394360/Hearts_of_Iron_IV?snr=1_category_4_simulation_100726,strategy world_war_ii grand_strategy war historical military alternate_history multiplayer simulation tactical real-time_with_pause singleplayer rts diplomacy sandbox co-op strategy_rpg competitive open_world action,2016,218593.0,1310.2066413282655,Very Positive,87
Gunfire Reborn,https://store.steampowered.com/app/1217060/Gunfire_Reborn?snr=1_category_4_adventure_salebrowseall,roguelite fps online_co-op roguelike co-op multiplayer looter_shooter indie action rpg adventure shooter action_roguelike first-person dungeon_crawler replay_value singleplayer early_access fast-paced loot,2021,82378.0,132.40706727889798,Very Positive,84
Deep Rock Galactic,https://store.steampowered.com/app/548430/Deep_Rock_Galactic?snr=1_category_4_action_100727,dwarf co-op pve fps procedural_generation class-based shooter exploration first-person loot sci-fi space action atmospheric looter_shooter combat survival horror dark action_roguelike,2020,247390.0,483.6160143769968,Overwhelmingly Positive,42
Stacklands,https://store.steampowered.com/app/1948280/Stacklands?snr=1_category_4_strategy_100727,card_game management survival card_battler roguelite city_builder strategy solitaire building 2d tabletop singleplayer cute deckbuilding simulation hand-drawn colorful indie casual fantasy,2022,23502.0,19.77724550898204,Overwhelmingly Positive,167
Tom Clancy's Rainbow Six® Siege,https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege?snr=1_category_4_action_salebrowseall,fps pvp esports multiplayer shooter tactical competitive online_co-op action hero_shooter team-based military strategy first-person war co-op realistic destruction difficult 3d,2015,1121920.0,1084.389532560927,Very Positive,189
The Sims™ 4,https://store.steampowered.com/app/1222670/The_Sims_4?snr=1_category_4_simulation_salebrowseall,life_sim character_customization building free_to_play multiplayer romance sandbox simulation singleplayer relaxing dating_sim casual realistic funny cute family_friendly immersive_sim fantasy adventure cartoony,2014,149708.0,243.758235176682,Very Positive,187
Subnautica,https://store.steampowered.com/app/264710/Subnautica?snr=1_category_4_adventure_100727,open_world_survival_craft survival horror open_world underwater exploration crafting base_building singleplayer adventure first-person sci-fi sandbox atmospheric aliens multiplayer survival_horror indie vr action,2018,255752.0,126.64972886121711,Overwhelmingly Positive,171
Fallout 4,https://store.steampowered.com/app/377160/Fallout_4?snr=1_category_4_rpg_100727,open_world post-apocalyptic singleplayer exploration rpg adventure atmospheric shooter first-person story_rich action sci-fi fps action_rpg sandbox great_soundtrack third_person survival third-person_shooter character_customization,2015,250033.0,462.3827383642115,Very Positive,66
War Thunder,https://store.steampowered.com/app/236390/War_Thunder?snr=1_category_4_simulation_salebrowseall,simulation free_to_play vehicular_combat combat world_war_ii vr flight war military tanks naval_combat multiplayer massively_multiplayer modern cold_war action realistic shooter third_person third-person_shooter,2013,543497.0,1633.710121780795,Mostly Positive,214
Need for Speed™ Heat,https://store.steampowered.com/app/1222680/Need_for_Speed_Heat?snr=1_category_4_sportsandracing_salebrowseall,racing open_world multiplayer driving action singleplayer co-op adventure combat_racing atmospheric third_person online_co-op arcade sports pvp first-person controller character_customization split_screen destruction,2019,96628.0,64.84884185303514,Very Positive,124
Unturned,https://store.steampowered.com/app/304930/Unturned?snr=1_category_4_action_100727,free_to_play survival zombies multiplayer open_world co-op sandbox crafting shooter adventure post-apocalyptic first-person looter_shooter singleplayer action fps massively_multiplayer indie atmospheric casual,2017,546080.0,632.781262485018,Very Positive,207
Undisputed,https://store.steampowered.com/app/1451190/Undisputed?snr=1_category_4_sportsandracing_salebrowseall,3d_fighter third_person 3d combat controller boxing fighting sports realistic multiplayer early_access singleplayer local_multiplayer simulation action esports pve pvp character_customization immersive_sim,2023,13370.0,88.51078274760384,Mostly Positive,206
Ultimate General: Civil War,https://store.steampowered.com/app/502520/Ultimate_General_Civil_War?snr=1_category_4_strategy_100727,wargame real_time_tactics war america tabletop rts grand_strategy strategy historical board_game strategy_rpg education turn-based_strategy tactical military combat simulation singleplayer multiplayer indie,2017,7428.0,389.52196485623006,Very Positive,204
ENDLESS™ Legend,https://store.steampowered.com/app/289130/ENDLESS_Legend?snr=1_category_4_strategy_100727,strategy 4x turn-based turn-based_strategy fantasy hex_grid multiplayer rpg singleplayer great_soundtrack sci-fi indie tactical grand_strategy adventure medieval atmospheric exploration open_world sandbox,2014,13919.0,117.51310262052412,Very Positive,59
Noita,https://store.steampowered.com/app/881100/Noita?snr=1_category_4_action_salebrowseall,physics difficult roguelike pixel_graphics dungeon_crawler indie open_world 2d sandbox perma_death action action_roguelike gun_customization rpg 2d_platformer roguelite dark_humor mythology action-adventure crafting,2020,63810.0,199.2523457776003,Overwhelmingly Positive,126
